TRGID,3PMP Fee,Check In Fee,Marketing Fee,Merchant Fee,Overbox Fee,Packaging Fee,PPS Fee,Refund Fee,Refurb Fee,Revshare Fee,Shipping Fee
213353264,$6,,$0,$0,$0,,$0,,$0,$3,$0
213353268,$12,,$0,$0,$0,,$0,,$0,$5,$0
213353272,$3,,$0,$0,$0,,$4,,$1,$1,$0
213353300,$14,,$0,$0,$0,,$0,,$0,$6,$0
213353302,$15,,$0,$0,$0,,$0,,$0,$6,$0
213353313,$6,,$0,$0,$0,,$0,,$0,$3,$0
213353343,$15,,$0,$0,$0,,$0,,$0,$6,$0
213353351,$3,,$0,$0,$0,,$4,,$1,$1,$0
213353382,$15,,$0,$0,$0,,$0,,$0,$6,$0
213353403,$22,,$0,$0,$0,,$0,,$0,$9,$0
213353410,$17,,$0,$0,$0,,$5,,$26,$18,$0
213353466,$12,$3,$0,$0,$0,,$4,,$0,$5,$0
213353467,$1,,$0,$0,$0,,$0,,$0,$0,$0
213353486,$18,,$0,$0,$0,,$0,,$0,$7,$0
213353489,$5,,$0,$0,$0,,$4,,$16,$2,$0
213353498,$18,,$0,$0,$0,,$0,,$0,$7,$0
213353525,$28,,$0,$0,$0,,$0,,$0,$12,$0
213353533,$5,$3,$0,$0,$0,,$4,,$0,$2,$0
213353548,$24,,$0,$0,$0,,$5,,$26,$10,$0
213353567,$4,$3,$0,$0,$0,,$4,,$0,$2,$0
213353595,$4,$3,$0,$0,$0,,$4,,$0,$2,$0
213353603,$8,,$0,$0,$0,,$0,,$0,$3,$0
213353671,$5,,$0,$0,$0,,$0,,$0,$2,$0
213353698,$2,,$0,$0,$0,,$0,,$0,$1,$0
213353703,$11,,$0,$0,$0,,$5,,$26,$9,$0
213353708,$3,,$0,$0,$0,,$0,,$0,$1,$0
213353718,$3,,$0,$0,$0,,$0,,$0,$1,$0
213353727,$2,,$0,$0,$0,,$0,,$0,$1,$0
213353741,$55,,$0,,,,$5,,$26,$23,
213353743,$29,,$0,$0,$0,,$0,,$0,$14,$0
213353749,$33,,$0,$0,$0,,$0,,$0,$14,$0
213353760,$33,,$0,$0,$0,,$0,,$0,$14,$0
213353770,$33,,$0,$0,$0,,$0,,$0,$14,$0
213353778,$11,,$0,$0,$0,,$5,,$26,$10,$0
213353794,$3,,$0,$0,$0,,$4,,$1,$1,$0
213353864,$4,$3,$0,$0,$0,,$4,,$0,$1,$0
213353887,$26,,$0,$0,$0,,$0,,$0,$8,$0
213353894,$26,,$0,$0,$0,,$0,,$0,$8,$0
213353900,$26,,$0,$0,$0,,$0,,$0,$8,$0
213353905,$5,,$0,$0,$0,,$0,,$0,$2,$0
213353906,$26,,$0,$0,$0,,$0,,$0,$8,$0
213353914,$26,,$0,$0,$0,,$0,,$0,$8,$0
213353927,$9,,$0,$0,$0,,$5,,$26,$10,$0
213354200,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354201,$4,,$0,$0,$0,,$0,,$0,$1,$0
213354209,$4,,$0,$0,$0,,$0,,$0,$1,$0
213354216,$5,,$0,$0,$0,,$0,,$0,$2,$0
213354222,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354223,$4,,$0,$0,$0,,$0,,$0,$1,$0
213354227,$4,,$0,$0,$0,,$0,,$0,$1,$0
213354266,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354277,$14,,$0,$0,$0,,$4,,$16,$6,$0
213354279,$3,,$0,$0,$0,,$4,,$9,$1,$0
213354284,$45,,$0,$0,$0,,$0,,$0,$19,$0
213354287,$16,,$0,,,,$4,,$16,$7,
213354304,$11,,$0,$0,$0,,$5,,$26,$10,$0
213354306,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354307,$6,,$0,$0,$0,,$0,,$0,$2,$0
213354317,$5,,$0,$0,$0,,$0,,$0,$2,$0
213354336,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354361,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354364,$17,,$0,$0,$0,,$0,,$0,$6,$0
213354367,$16,,$0,,,,$4,,$16,$7,
213354372,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354382,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354390,$6,,$0,$0,$0,,$0,,$0,$3,$0
213354391,$6,,$0,$0,$0,,$0,,$0,$3,$0
213354392,$6,,$0,$0,$0,,$0,,$0,$3,$0
213354401,$6,,$0,$0,$0,,$4,,$2,$2,$0
213354403,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354405,$5,,$0,$0,$0,,$0,,$0,$2,$0
213354407,$7,,$0,$0,$0,,$0,,$0,$2,$0
213354419,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354429,$19,,$0,$0,$0,,$4,,$2,$8,$0
213354440,$5,,$0,$0,$0,,$0,,$0,$1,$0
213354449,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354451,$12,,$0,$0,$0,,$4,,$2,$5,$0
213354462,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354477,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354489,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354501,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354510,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354511,$5,,$0,$0,$0,,$0,,$0,$2,$0
213354524,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354543,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354549,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354574,$3,,$0,$0,$0,,$4,,$4,$1,$0
213354582,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354587,$5,,$0,$0,$0,,$0,,$0,$1,$0
213354605,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354617,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354635,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354648,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354678,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354691,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354704,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354707,$5,,$0,$0,$0,,$4,,$9,$2,$0
213354710,$34,,$0,$0,$0,,$0,,$0,$14,$0
213354715,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354767,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354787,$34,,$0,$0,$0,,$0,,$0,$14,$0
213354789,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354795,$51,,$0,$0,$0,,$0,,$0,$21,$0
213354808,$58,,$0,$0,$0,,$0,,$0,$14,$0
213354819,$3,,$0,$0,$0,,$0,,$0,$1,$0
213354836,$8,,$0,$0,$0,,$4,,$53,$2,$0
213354837,$3,,$0,$0,$0,,$0,,$0,$1,$0
